Class,Data
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Mua đơn nhiều lần ủng hộ cửa hàng dài dài..
-1,Chất lượng sản phẩm kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm kém Chất lượng sản phẩm kém
1,Khai trương bằng món gạo lứt ngay tạm thời là mọi thứ tốt ;)))
-1,Chỉ qua mắt được gà mờ thôi chứ Mobi tuổi gì mà đọ S7.
-1,CON QUÁI VẬT TAI NHỌN CHỨ không PHẢI CON GẤU
-1,Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Thế nhưng hộp sữa vẫn bị móp 1 phần nhỏ  không  thể do vận chuyển đc
-1,Cả 3 chiếc đều hỏng Chất lượng sản phẩm rất kém
-1,Mình chưa cần biết chất lượng như thế nào. Nhưng cách chủ cửa hàng Support với khách quad là thiếu lịch sự luôn. Ăn nói cộc lốc. Trống không!!!!!
-1,quá tệ. túi 2 bên thủng 1 bên khâu ngược 1 bên  không  khâu túi mà còn viền túi khâu ngược lại. quá nhiều đường chỉ lỗi. áo lại mỏng nữa.
1,Tác phẩm rất hay!!!!
-1,cửa hàng phục vụ rất kém . Mua 3 món mà chỉ giao có 1 -_-
-1,"đồng hồ này là không cần thiết , không có thì thèm có rồi thì thừa, trông như đồng hồ điện tử rẻ tiền vì mọi người vẫn quen với những đồng hồ cơ sang trọng mạ vàng đính hột xoàn, kim cương, đeo cái này đi đâu cũng phải giải thích của tôilà đồng hồ thông minh 9 triệu chứ không phải đồng hồ điện tử đâu nhé hừ thật vô duyên... chào cả nón"
1,Vừa chân vợ mình ngon ơ. Nhìn xinh xắn lắm. Mình mua màu Hồng.
-1,Cảm ơn sản phẩm bên bạn nha.
1,cửa hàng bán hàng rất chuẩn giao hàng nhanh. Lần sau sẽ ủng hộ nữa
-1,Giày giao sai màu... đặt đen gửi trắng
-1,"Ram 2G mà trống có 700mb, trong khi chưa cài được gì"
-1,Giao Thiếu hàng
-1,Pin yếu thế thì không ổn với máy 6' rồi. Thà bỏ thêm tiền mua Galaxy A9 pro
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Vải đẹp mịn các con rất thích vất luôn balo cũ
1,"Chỉ có thể là bphone 2 Hóng chờ em quá, hy vọng nhiều công nghệ nhất nữa làm rạng danh hơn cả bphone 1 Cố lên các em"
1,Hồi đầu đặt 4 gói 250g về sau gửi 2 gói 500g. Thấy trong ảnh 1 gói cũng bé bé nhỏ nhỏ lúc nhận thấy nặng mở ra thì 2 túi siêu to. Ăn gần hết 1 túi rồi không kịp chụp lại thôi ăn tiếp. Sẽ ủng hộ cho cửa hàng nhiều chúc cửa hàng buôn may bán đắt!!!!
1,Thời gian giao hàng rất nhanh. nchung là được
1,Đóng gói sản phẩm rất đẹp và chắc chắnkhác cửa hàng khácgiao hàng nhanh chị giao hàng rất tốt
-1,Hàng xấu vãi nhái. Chả giống ảnh j. Đi chân đất còn hơn.
1,Nhìn rất yêu
1,Chưa test cho 5 sao vì giao hàng nhanh
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh giống trong hình nhưng giấy hơi mỏng phù hợp tiề.hinh ảnh rõ
1,Hành chưa dì bị ohai màu rồi không hài lòng
-1,Shipper 2s + sp 0s = 2s Chất lượng sản phẩm kém
-1,"Tai nghe có chất lượng âm thanh rất tốt nhưng chắc là không dám mua sản phẩm công nghệ ở Tiki nữa.Tai nghe mua ngày 20/01/2018 nhưng vừa xài được 1 tuần đã bị bong tróc nặng nề. Khoảng 2 tuần sau thì bông đệm tai rách hoàn toàn ra khỏi tai nghe do đã bị mục từ lâu, chỉ còn trơ phần nhựa. Mặc dù vẫn còn rất sớm trong thời hạn bảo hành 24 tháng nhưng liên hệ với SVHouse (đơn vị phân phối và bảo hành Sennheiser tại Việt Nam) thì SVHouse nói sản phẩm mua tại Tiki nên phải yêu cầu Tiki bảo hành. Liên hệ với Tiki thì Tiki không chịu trách nhiệm và không chấp nhận lỗi bong tróc và rách đệm này với lý do đây không phải lỗi kỹ thuật, trong khi miếng đệm đã bị mục từ trước. Mua sản phẩm với giá thành cao như vậy mà giờ phải chấp nhận xài như thế này."
-1,Thất vỌng về sp đeo đc ngày mà phải chỉnh giờ 5 lần vì không chạy chạy đc tí lại chết Máy đồng hồ mới mà đã bị hết pin sao dây đeo thì bị đất cái cài quai. Buồn. Phí vận chuyển thì đắt
1,Sạc nhanh. Hơi chập chờn lúc mới cắm vào. Lúc thì nhận ngay lúc thì phải rút ra cắm lại hoặc đảo mặt mới được
1,"Mới mua chưa dùng nên chưa biết có tốt ko, sẽ ủng hộ tiếp nếu có hiệu quả có tặng quà nhỏ xinh cửa hàng phục vụ rất tốt"
1,Sản phẩm tốt chất lượng phù hợp giá tiền.
1,Giày đẹp lắm lun... rất đáng tiền
1,Chất lượng sp kém.xấu
-1,quá chán . mình hỏi nhân viên bán hàng là hàng có tốt không . đê mình còn làm quà . nv bán hàng nói tốt sản phẩm tốt . thế nhưng có ra gì đâu . phí tiền . cầm ném luôn 4 cái . thế la bị lừa
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền. Cứ nghĩ rẻ thì sp  không  được đẹp lắm nhưng ngoài mong đợi. Sẽ ủng hộ cửa hàng dài dài
1,Đóng gói chắc chắn sp tốt không bị tràn đổ mùi thơm dễ chịu ạ
-1,Không vừa với máy oppo f1s của mình. Nhắn tin cho cửa hàng không thấy cửa hàng trả lời.
1,"Cái này thì ưng cực kì, lâu trôi là 1,dễ kẻ là hai, đẹp mắt la ba. Mây bạn mới tâp tành trang điểm nên mua nha, vừa rẻ vừa tiện lợi vcl. Mình chính thức thành tín đồ MayCreate từ thời điểm bôi em kẻ mắt này :))"
-1,lần 2 mua máy không như lần đầu không có tem hãng giao thiếu miếng đế dán cửa hàng cũng không thèm trả lời tinh nhắn
-1,Gậy này không thể chụp được trên điện thoại HTC butterfly 2 hiện dùng Android 6.0 đã cài đặt chế độ Volume to Capture. Do jack cắm của gậy này hơi to không cắm hết vào điện thoại HTC nên nó không kích hoạt được micro. Tuy nhiên nó hoạt động bình thường trên Samsung và iPhone.
1,cửa hàng phục vụ rất tốt. Rất nhiệt tình. Ủng hộ cửa hàng dài dài
-1,Giao hang nhanh nhưng giao sai size giày đã chọn chọn size 35 giao 38. Mang rộng. Hộp thì đóng gói móm méo sơ sài.
1,Sản phẩm tốt. mn nên mua
1,cửa hàng gửi thiếu mình sản phẩm này nhưng đã nhanh chóng bù lại bằng card đt. Vẫn cho cửa hàng 5 sao.
-1,Mỏng mà pin yếu thì để làm gì nhỉ
1,Sản phẩm tốt giao nhanh đúng sản phẩm.
1,Đóng gói sản phẩm rất đẹp và chắc chắn . Son lì và bám màu đẹp nữa :>>>
-1,T đắp xong thấy mặt nổi mụn.da t là dạng bôi j cũng được cực ít khi có mụn.đắp xong thấy mặt cứ lầm tấm y.
-1,Nhận vali mà thấy bị xước xát ở bên ngoài nhiều chỗ
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờ
-1,Lúc đặt hàng thì có quà tặng lúc giao hàng thì không có hỏi cửa hàng cửa hàng lại trả lời do cỡ mình đặt không có đồ tặng người tiêu dùng trước khi mua nên hỏi cho chắc chắn không lại ôm cục tức vào người như mình ấy
1,Chất lượng tuyệt vời. Chủ cửa hàng nhiệt tình ghê
-1,Đặt 3 đôi thì 1 đôi màu đỏ bị phai hết màu đỏ ra chân. Rửa chân mãi mới sạch. Còn 1 đôi thì như bán cho người thương binh. Đặt số 39 mà gửi về 1 chân 38 1 chân 39.
1,Đồng hồ rất đẹp và dể thương cảm on cửa hàng
-1,Máy hút rất dở và đã bị hư
-1,Hàng bị móp và đóng bụi dày cả lớp
1,cửa hàng vận chuyển hàng nhanh không thể tin được rất nhiệt tình. Lần sau sẽ ủng hộ. Đóng gói sản phẩm rất đẹp và chắc chắn
-1,Nt cửa hàng  không  trả lời tấm lót  không  có chống thấm ướt cả xuống đệm
1,giao hàng nhanh đồng hồ đẹp ưng còn chất lượng dùng lâu mới biết
-1,Nói chung thằng em mình mua 1 cái sau 15 ngày trải nghiệm đã lên đường về với chủ cũ chấp nhận mất 15% giá trị máy và thêm tiền mua air 2
1,Sản phầm không giống như những gì cửa hàng nói nhan viên giao hàng thái độ không tốt
-1,Gửi nhầm sizi đi  không  vừa cửa hàng lm ăn chán
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn... Đẹp to hơn mk nghĩ chị chủ bán rất dth nhiệt tình.đẹp nua.rất ưng lun.
1,Dép đi rất êm chân. cảm ơn cửa hàng nhìu
1,Nói chung là hài lòng về chất lượng hiện tại về màu sắc kiểu dáng y hình bật có khi 1 cái có khi 2 cái là được còn bền hay không dùng 1 tgi mới rõ. Hi vọng không p thất vọng. Thời gian giao hàng rất nhanh Rất đáng tiền cửa hàng phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn
1,cảm ơn cửa hàng giao hàng nhanh chóng và hàng nguyên vẹnđể mình sử dụng sản phẩm để xem chất lượng và sẽ phản hồi về phần chất lượng sản phẩm sau.
-1,Bé tý ý. Hzzz! Mua về bm cứ kêu đắt mà bé thế. Huhu. Buồn quá
-1,Giao hàng chậm. Chưa nhận được hàng.
-1,Mới mua và quyết định ném vào sọt rác vì quá tệ độ nhạy không tốt không chạy được trên 1 số mặt bàn bóng
1,Đế hơi cứng ạ n dù sao cg đẹp 😄
-1,nghe đau tai nhức đầu RẤT BỰC ÌNH
-1,quá tệ xấu
-1,cửa hàng ghi tặng 6 miếng mà khi nhận đc hàng chẳng thấy hàng tặng
1,Giao hàng nhanh. cửa hàng nhiệt tình nhưng shope làm ăn chậm
1,Mình rất ưng😋 thời gian giao hàng nhanh nữa
-1,Sách của mình bị cũ bụi và hơi dơ nữa. Không vừa ý! 😥
-1,cửa hàng phục vụ rất kém báo là  không  cài đc xong cửa hàng bảo sẽ báo nhân viên kỹ thuật mà chờ mòn răng  không  thấy nhân viên kỹ thuật tư vấn phí tiền bây h vứt không một xó
1,màu đẹp lâu phai đáng mua
1,Mặc dù chất lượng hạt không đồng đều nhưng rất ổn so với mức giá bán. Giá tốt.
1,"hàng đẹp , lần này không bị lỗi gì cả, mình sẽ đặt hàng tiếp, cảm ơn cửa hàng"
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh lần thư 2 mua rùi hehe
-1,không cham soc tot
-1,Chất lượng tốt nhưng giao sai màu đã note là lấy 1 đen 1 hồng vậy mà lại giao 2 cái đen hix hix
-1,Sản phẩn bị lỗi đã thông báo 2 lần lên Tiki nhận hàng kiểm tra lỗi bào cho tiki mà đến 5 ngày chưa thấy phản hồi gì từ tiki cho người qua đổi sản phẩm là như nào Tiki. Đề nghị trong ngày thứ 2 30/10/2017 mang qua một sản phẩm khác đổi mới cho mình! Xin cảm ơn!
-1,Đặt 2 hộp tẩy trang màu hồng loại 1000 tờ nhận hàng thành 2 hộp màu xanh 800 tờ. Là 1 cửa hàng lớn được yêu thích mà giao hàng nhầm rồi khach ib hỏi cũng  không  thấy rep. Cảm thấy hơi bị bực với cửa hàng
-1,không hài lòng về sản phẩn
1,Giao hàng nhanh. Hộp giày bị bẹp. Nhưng bù lại chất lượng giày tốt . Hài lòng 😊
-1,Hàng không chính hãng
1,Hàng tốt nè. Giao nhah nữa
-1,sao hàng mua trên tiki lại khác a với hàng mình đang dùng mua trong siêu thị. có fai hàng rỡn không v
1,"Cái này nên mua, đẹp quá. Giải trí tốt, làm việc nhẹ được, đúng phong cách quý tộc. Cái này dành cho sếp, nhân viên thường phải làm việc thường xuyên thì phải dùng Win cho bỗ bã."
1,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh nước hoa thơm lắm luôn
1,Sách thật gói rất Cẩn thận. cảm ơn cửa hàng
1,Cân đủ yến không phải nhặt lông nên nhàn. Vụn thì mình cũng chỉ cần vụn cho trẻ e nên không vđe gi nhu moi ng noi. Nấu thấy nở ok.
1,"Sp phù hợp giá tiền, giao hàng chậm, nhầm size 1 đôi"
1,Tỏi ot không ngon.lá chanh cung đc nhung nhiêu vụn
-1,Nhược điểm của cả Elite và Surface pro là đều có giá chát.
1,Chất lượng sản phẩm tuyệt vời; Đóng gói sản phẩm rất đẹp và chắc chắn; Rất đáng tiền.sẽ luôn ủng hộ shop.
1,Nghe dc. Phù hợp giá tiền.
1,Sp tot! Do gan chinh xac noi chung ok!
1,Màu lên tốt lì sài êm cửa hàng cute Thời gian giao hàng rất nhanh
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Một lưu Y là ai đặt giày phải đặt sz nhỏ hơn bt
1,Sp đẹp cửa hàng phục vụ nhiệt tình
1,Đối với số tiền mà mình bỉ ra thì thực sự chất lượng sản phẩm vượt ngoauf mong đợi =)) ủng hôn cửa hàng dài
-1,Chất lượng sản phẩm rất kém 😒😒😒
1,Đóng gói sản phẩm rất đẹp và chắc chắn. Chất lượng sản phẩm tuyệt vời. cửa hàng phục vụ rất tốt
1,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh
-1,sách viết khá tốt không lòng vòng nhưng lại viết bằng ngòi bút như những bài báo đọc rất khô khan
1,Chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Lộn màu chút xíu mà màu này cũng đẹp.
-1,Sách dịch nhiều chổ còn chưa rõ khó hiểu. Tiki giao chậm 4 ngày mới đến dù mình ở sg
-1,Mình mua cuốn này vì mình xem tác giả diễn thuyết về cách học 20h đâu tên trên TED Talks. Nhưng khi mua về mình thấy cách viết cứ lủng củng thế nào ấy  không  có trọng tâm gì cả. Một phần do bản dịch  không  sát nghĩa nên khó truyền đạt ý tưởng tác giả muốn gửi gắm.
-1,không kẹp đc. Rụng cả mi thật
1,Hàng chuẩn ưng ý
1,Chất lượng sản phẩm giòn ngon nhưng bọc nửa ký bị lủng và dán băng keo nên sản phẩm bị mềm yêu cầu cửa hàng nên coi lại cách đóng gói
1,Đóng gói sản phẩm rất đẹp và chắc chắn. Thời gian giao hơi chậm
1,Rất ưng ý cảm ơn cửa hàng
1,Gửi nhầm 1 vỏ ip6. Tóm lại là đẹp
-1,may qua lag khi su dung hay bi do man hinh hao pin
-1,Chụp hình hai cái nhưng chỉ giao 1 cái
1,Bộ sp nhìn rất đẹp. Cái hộp và quà tặng nhìn cưng quá trời. Chất lượng thì thật sự chưa dùng thử nên không thể nói đc gì. Đóng gói sản phẩm rất đẹp và chắc chắn
1,Bao bì đẹp chắc chắn. Chất lượng sản phẩm tốt giá cả hợp lí. Nhưng vận chuyển hơi lâu
-1,giay không giống hình
1,Giao hàng nhanh. Giày đẹp trog tầm giá. 😍
1,Hơi sát ngày hết hạn
1,Cái này nhìn ngon ...^^
-1,Không thấy tặng khẩu trang đâu cả
1,Đồ đẹp. Vải mềm mịn
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Màu lên xinh mịn lì mềm  không  khô môi. Hihi.
1,Bé xíu :D Đem đi học rất tiện :D
-1,Chất vải không đc ưng ý. Chất lượng vải chỉ vừa với giá sale thôi. Chứ bán giá gốc mà chất vải như vậy thì sẽ trả hàng.
-1,Giao. hàng lỗi
1,Hàng tốt tốt lắm
-1,vừa khởi động đã cháy nản ... tệ hơn 1 sao nữa đó chứ
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền với giá tiền này thì tuyệt ahihi đừng nghe mấy bạn đánh giá sao thấpmà  không  mua. Ủng hộ cửa hàng dài dài
1,Chất lượng quá tốt còn đẹp hơn mình tưởng tượng. Hài lòng vô cùng. Chủ cửa hàng dễ thương nhiệt tình. Mình săn đc giá hủy diệt và mã giảm giá. vận chuyển về tận nhà 2 đôi chỉ 400k. Giá quá hời cho một sản phẩm tốt như vậy.
1,cửa hàng phục vụ rất tốt chất lượng thì phải sử dụng 1 thời gian mới biết Đc ạ❤️
-1,hàng dỏm xài 3-4 tiếng mất sóng phải restart lại cái repeater. Một ngày restart 3-4 lần.
-1,Giày giống hình nhưng đi rất đau chân.. Phần da giày rất cứng
1,Chất lượng sản phẩm tuyệt vời. Rất đáng tiền. Đóng gói sản phẩm rất đẹp và chắc chắn. Thời gian giao hàng rất nhanh. cửa hàng phục vụ rất tốt. Có tặng móc khóa xinh
1,Excellent seller's response Excellent product quality
-1,Chất lượng sản phẩm rất kémmâm bị mớp méothiếu óc bắt 4 chân gẩy chấu nói chung rất tệ  không  đáng mua....
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Lần đầu mua nhưng hài lòng lắm.Cảm ơn cửa hàng nhé.Giầy mang ôm chân đẹp lăm luôn .💖
-1,"Mình rất háo hức chờ đợi để được đọc cuốn sách này vì thật sự đây là 1 kỹ năng rất cần thiết trong cuộc sống. Nhưng đáng thất vọng là từ ngữ trong sách quá buồn ngủ mình là người mê đọc sách mà phải cố gắng lắm mới không bỏ dỡ nó nửa chừng. Nhưng nội dung thì cũng được, mình cũng học được 1 cài kỹ năng trong sách. Điểm trừ nữa là chất lượng giấy không tốt sách khá mỏng chỉ toàn lý thuyết không có ví dụ sẽ khó khăn cho các bạn không có đam mê đọc sách mà lỡ mua vì đọc nó rất chán."
-1,nhìn như mấy cái kẹp nhựa là kẹp xông tinh dầu đuổi muỗi mà chẳng có mùi tinh dầu gì ngoài mùi nhựa...
1,Hang dep giong hinh
-1,rÕ RÀNG cửa hàng GIAO HÀNG SAIĐÃ YC TRẢ HÀNG MÀSHOP không HỀ LIÊN LẠC LẠI CHỈ THẤY SHOPEE GỬI MAIL VÀ HƯỚNG DẪN DÁN THÔNG TIN LÊN GÓI HÀNG cửa hàng KHÔNG HỀ TRAO ĐỔI VỀ VIỆC NHẬN HÀNG TÔI ĐÃ KHIẾU NẠI SHOPEE NHƯNG TIỀN LẠI VẪN THANH TOÁN CHO SHOP. QUÁ THẤT VỌNG VỀ CÁCH LÀM VIỆC CỦA cửa hàng CŨNG NHƯ SHOPEE.
-1,khay đá đẹp giao hàng thiếu mất một cái. đã gửi ý kiến không thấy cửa hàng phản hồi
1,Giao hàng nhanh đóng gói đẹp
1,E nhận đc hàng rồi..giày đẹp lắm..e đi mà ai cũng khen
1,Hanh nhan thơm ngon dong goi can than giao hang nhanh Chất lượng Chất lượng sản phẩm tuyệt vời
-1,nghe gọi không rơ
1,Thật sự rất ưng. Giá rẻ nhưng giày rất đẹp luôn
1,vận chuyển về 500k quất ngay
-1,Bảo lấy màu trắng lại giao đen
1,cửa hàng giao nhầm màu mà nhắn tin không thấy trả lời cửa hàng phục vụ rất kém
-1,"Mà mở khoá bằng bluetooth mình cảm thấy không hay lắm, để trong túi quần cấn nút nguồn cái nó mở luôn, để dt đâu đó mấy đứa khác nó lén lấy xem Japan Anti Virut thì mệt nữa haaaa, cứ mở khoá bằng vân tay cho chắc cú. gởi từ Nokia1202 của tôi"
1,Hàng dùng êm chân
1,Đây là lần thứ 2 mua hàng ở cửa hàng và cảm nhận của mình là cửa hàng hoàn hảo về mọi mặt =)))
1,"Thảm cực dày, êm. To ơi là to, vừa với túi được tặng. Bề mặt nổi hạt hình hoa lá cũng rất thích. cửa hàng tư vấn nhanh nhẹn, chụp ảnh nhiệt tình. Giao Hàng Nhanh vận chuyển nhanh."
-1,Thiết kế sạc pin rất tệ. Sản phẩm lỗi như vậy không nên được bày bán trên Tiki.
-1,Tôi thấy trong quyển sách này. Tác giả nêu ra một con đường tât để đạt Tự do tài chính. trong 52 tuần ... như một giấc mơ. Tính khả thi là rất thấp. ví dụ như ở tuần 8 bắt đầu trao dồi học vấn đến tuần 20 tức là khoảng 3 tháng sau thì kiếm ra 1 triệu đô la dâud tiên ... nghe thật hàn lâm. Tuần 23 kiểm soát sự giàu có của bạn và tuần 24 thì mua BĐS không tốn 1 xu... đọc đến đây thấy mất hứng nên ngưng đọc luôn. ^_^
-1,Sau đồng hồ của e ba hồi chạy ba hồi hk chạy la s vậy anh
-1,Chất lượng sản phẩm rất kémđịt mẹ lỏng lẻo vl 😭
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh! Rất thích buồn chút vì vận chuyển làm móp hết cả hộp đẹp 😢
-1,Không hề có bookmark mình rhaasy có bookmark nên mới đặt ấy
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh va toi ngiep anh giao hag mua gio gi cug di giao hag het
1,Cực ưng 😍 cảm ơn cửa hàng nhé Sẽ ủng hộ cửa hàng dài dài
1,Chưa từng thấy 1 cửa hàng nào làm an như này. Đóng gói nhầm cho khách. Mình đã gửi lại hàng để đổi giờ đã nhận hàng mà lại mất hút không trả lại giày cho mình. Định lấy hàng lâu dài nhưng thôi giờ bye bye. Kiểu làm ăn thiếu trách nhiệm. Các bạn mua hàng cũng nên cẩn thận 1 chút
1,cửa hàng phục vụ rất tốt. Thời gian giao hàng rất nhanh. Cảm ơn cửa hàng nhiều
1,Đồng hồ đẹp nhưng về đến nơi thì bị vỡ kính đi thay kính mất tiền gấp 3 cái đồng hồ mua mới
-1,Mình đã chọn mua sách này vì 1 là đọc review tưởng là truyện ngắn nội dung hấp dẫn 2 là bìa đặt. Nhưng khi nhận sách thì thất vọng hoàn toàn vì đây là một chuỗi những tản văn và lời lẽ rất buồn. Tâm trạng vui đọc không được buồn thì sẽ càng không đọc. Khá thất vọng.
1,cửa hàng phục vụ tốt hàng có tem chưa dùng không biết chất lượng tn
1,Đóng gói sản phẩm rất đẹp và chắc chắn ăn rất ngon. Nói chung rất đáng tiền cho cửa hàng 10 🌟 luôn .
1,Đường may hơi lỗi một chút. Nhưng  không  sao. Thời gian giao hàng rất nhanh
1,Sản phẩm tốt lắm. Nằm thấy dễ chịu
1,Cảm ơn cửa hàng nhé! Toàn mash chất lượng! Tớ sẽ ủng hộ dài!
-1,Dặt size 41 gửi về size 39 nt cửa hàng cửa hàng không rep
-1,Mình đặt 1 màu mà cửa hàng bỏ lộn xộn. Có 1 vài dây bị tua
1,"Chất lượng sản phẩm tuyệt vời, dây tốt Dây ngắn quá Nam đeo không vừa nhỏ nữa không biết có lộn size không đo phủ bì 2 đầu dây có 19mm à cửa hàng"
-1,Thiếu mỗi quả táo ở mặt sau nữa thôi
-1,cửa hàng giao nhầm màu rồi
-1,10 cái nhưng size không giống nhau
-1,Đặt mua một lúc 3 chiếc thì có 1 chiếc màu tím bị hết pin 1 chiếc màu hồng nhạt nhìn như hàng nhái. Thực sự thất vọng về sản phẩm. Mọi người đừng mua mà mất tiền oan rồi ôm cục tức vào người.
1,Đóng gói sản phẩm rất đẹp và chắc chắn. Sản phẩm nhìn ưng. Ngồi ok. Sử dụng thích hợp. Mình nhẹ tênh khi không phải bế bé bằng 2 tay nữa. Sản phẩm nhẹ chứ  không  nặng như mình tưởng tượng. Giống y xì trong hình. Mỗi tội cái mác  không  phải made in hàn mà là china. Nhưng mình ưng là đc. Ủng hộ cửa hàng
1,Đồ bộ thì đẹp.quần trục thì  không  nên mua vì quá xấu
1,Đóng gói sản phẩm rất đẹp và chắc chắn Lần đầu mua hàng còn dk tặng thêm qà. Lần sau sẽ ủng hộ cửa hàng
1,Đóng gói sản phẩm rất đẹp và chắc chắn.Đúng như hình
1,"tuyệt vời muon co 1 cai mà sửa chữa bào hành của hãng tại việt nam không có, cai nay co sim 3 g nua tuyệt đỉnh"
1,Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn. Rất đáng tiền bỏ ra 👍
-1,Không hoạt động được.
-1,Hàng giao chậm thái độ cửa hàng như cc đóng gói sản phẩm lỏng lẻo.
-1,Không như mong đợi...ko repeater đc mật khẩu có dấu /
1,Mua hàng trên shoppe cứ như đánh cược ý Mua phải hàng tốt thì tốt Mà  không  may mua phải đồ  không  dùng dk thì vất đi
1,cửa hàng phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Dù là hàng fake nhưng phải nói vậy là quá ổn đi đẹp đáng tiền 😗
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Sẽ ủng hộ cửa hàng dài dài :)
1,Giày tạm ổn.so với giá thì tốt Đôi thể thao đế xốp không như mog đợi
1,Sản phẩm mùi rất thơm mùi nước hoa hồng rất thích dùng cực kỳ dịu nhẹ cảm ơn cửa hàng vì tìm sản phẩm đã lâu nay mới gặp
-1,Nấu mới 2 lần đã hư không sử dụng được
-1,Mực kém
-1,SẢN PHẨM BỊ LIỆT NÚT SỐ 1 HƠI THẤT VỌNG
-1,Thùng khá nhỏ chi sử dụng trong văn phòng sẽ hợp lý hơn là ở nhà
1,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh đáng ra phải cho 10 sao luôn ý :))))
-1,Dung lượng kém không phù hợp với quạt mini . mình thử cả 3 cục mỗi cục chạy chưa được 1 giờ là hết .
-1,Tiền nào vải đấy. không bằng đồng hồ con nít. Rệu rạo
-1,Mình mua được 1 tháng thì không nhận sim nữa. Khuyên mọi người cứ điẹn thoại chính hãng nổi tiếng mà dùng không nên ham của rẻ.
-1,Phục vụ rất kém gửi hàng lỗi mà đổ cho khách bóc hàng bằng kéo cắt vào. Gớm hai cái dép úp dây vào nhau để trong túi không dán thì cần gì phải dùng kéo.Phản hồi thì cửa hàng ậm ờ bỏ qua không đc câu xin lỗi. Có đôi dép hơn trăm bạc chẳng bõ phải đôi co hay trả hàng cửa hàng xem lại thái độ phục vụ. Mất uy tín
-1,Đồng hồ bong tróc mất màu
-1,sài được 2 tháng tốc độ còn 144 mbps. Bảo hành có dùng được trong trường hợp này không vậy
-1,Giao hàng nhanh. Hộp móp nặng nề và seal giống nnhuw bị bóc ra rồi dán lại dán thêm tem của cửa hàng vào. Còn Listick bên trong thì ổn. Nói chung là không hài lòng
1,Giày đẹp lắm nhé lần sau sẽ ủng hộ cửa hàng tiếp 😁😁😁
-1,Không sử dụng được. Miếng dính cao quá
